실측 시작 — race 2개 × type 2종 × 26회 (간격 30초)
기록: logs\jra_odds_probe\20260801_113943.jsonl
  round  1/26  11:39:44
  round  2/26  11:40:14
  round  3/26  11:40:45
  round  4/26  11:41:15
  round  5/26  11:41:46
  round  6/26  11:42:16
  round  7/26  11:42:47
  round  8/26  11:43:17
  round  9/26  11:43:48
  round 10/26  11:44:18
  round 11/26  11:44:49
  round 12/26  11:45:19
  round 13/26  11:45:50
  round 14/26  11:46:20
  round 15/26  11:46:51
  round 16/26  11:47:21
  round 17/26  11:47:51
  round 18/26  11:48:22
  round 19/26  11:48:52
  round 20/26  11:49:23
  round 21/26  11:49:53
  round 22/26  11:50:24
  round 23/26  11:50:54
  round 24/26  11:51:25
  round 25/26  11:51:55
  round 26/26  11:52:26
완료: C:\Users\Administrator\Desktop\경마분석서버\logs\jra_odds_probe\20260801_113943.jsonl
